Artist,Album,Track,Datetime
Juice WRLD,Let Me Know (I Wonder Why Freestyle),let me know (I wonder why freestyle),08 Dec 2019 19:43
Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,08 Dec 2019 19:43
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Hard Work Pays Off,08 Dec 2019 19:39
Kendrick Lamar,good kid m.A.A.d city,Bitch Don’t Kill My Vibe,08 Dec 2019 19:38
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Transformer (feat. Nicki Minaj),08 Dec 2019 19:36
Kendrick Lamar,good kid m.A.A.d city,Sherane a.k.a Master Splinter’s Daughter,08 Dec 2019 19:34
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Ain't Livin Right (feat. Gunna),08 Dec 2019 19:32
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Afterlife,08 Dec 2019 19:29
Future,Future & Juice WRLD Present... WRLD ON DRUGS,WRLD On Drugs,08 Dec 2019 19:25
Future,Future & Juice WRLD Present... WRLD ON DRUGS,No Issue,08 Dec 2019 19:22
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Realer N Realer,08 Dec 2019 19:19
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Shorty,08 Dec 2019 19:17
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Different (feat. Yung Bans),08 Dec 2019 19:15
Future,Future & Juice WRLD Present... WRLD ON DRUGS,7 Am Freestyle,08 Dec 2019 19:11
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Oxy (feat. Lil Wayne),08 Dec 2019 19:08
Juice WRLD,Future & Juice WRLD Present... WRLD ON DRUGS,Make It Back,08 Dec 2019 19:07
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Red Bentley (feat. Young Thug),08 Dec 2019 19:03
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Fine China,08 Dec 2019 19:01
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Astronauts,08 Dec 2019 18:58
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Jet Lag (feat. Young Scooter),08 Dec 2019 18:53
Juice WRLD,Goodbye & Good Riddance,Karma - Skit,08 Dec 2019 18:52
Juice WRLD,Goodbye & Good Riddance,Betrayal - Skit,08 Dec 2019 18:51
Juice WRLD,Goodbye & Good Riddance,Long Gone,08 Dec 2019 18:48
Juice WRLD,Goodbye & Good Riddance,End Of The Road,08 Dec 2019 18:45
Juice WRLD,Goodbye & Good Riddance,I'm Still,08 Dec 2019 18:42
Juice WRLD,Goodbye & Good Riddance,Hurt Me,08 Dec 2019 18:40
Juice WRLD,Goodbye & Good Riddance,Scared Of Love,08 Dec 2019 18:37
Juice WRLD,Goodbye & Good Riddance,Candles,08 Dec 2019 18:34
Juice WRLD,Goodbye & Good Riddance,Used To,08 Dec 2019 18:31
Juice WRLD,Goodbye & Good Riddance,I'll Be Fine,08 Dec 2019 18:27
Juice WRLD,Goodbye & Good Riddance,Lean Wit Me,08 Dec 2019 18:24
Juice WRLD,Goodbye & Good Riddance,Black & White,08 Dec 2019 18:21
Juice WRLD,Goodbye & Good Riddance,Armed and Dangerous,08 Dec 2019 18:18
Juice WRLD,Goodbye & Good Riddance,Wasted (feat. Lil Uzi Vert),08 Dec 2019 18:14
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,08 Dec 2019 18:10
Juice WRLD,Goodbye & Good Riddance,all girls are the same,08 Dec 2019 18:07
Juice WRLD,Goodbye & Good Riddance,Intro,08 Dec 2019 18:06
Juice WRLD,Death Race For Love,The Bees Knees,08 Dec 2019 17:18
Juice WRLD,Death Race For Love,Out My Way,08 Dec 2019 17:16
Juice WRLD,Death Race For Love,Desire,08 Dec 2019 17:12
Juice WRLD,Death Race For Love,Ring Ring (with Rvssian feat. Clever),08 Dec 2019 17:10
Juice WRLD,Death Race For Love,Who Shot Cupid?,08 Dec 2019 17:06
Juice WRLD,Death Race For Love,Syphilis,08 Dec 2019 17:04
Juice WRLD,Death Race For Love,Feeling,08 Dec 2019 16:59
Juice WRLD,Death Race For Love,Flaws and Sins,08 Dec 2019 16:55
Juice WRLD,Death Race For Love,robbery,08 Dec 2019 16:51
Juice WRLD,Death Race For Love,Big,08 Dec 2019 16:47
Juice WRLD,Death Race For Love,Hear Me Calling,08 Dec 2019 16:44
Juice WRLD,Death Race For Love,Fast,08 Dec 2019 16:41
Juice WRLD,Death Race For Love,Demonz (feat. Brent Faiyaz) - Interlude,08 Dec 2019 16:39
Juice WRLD,Death Race For Love,HEmotions,08 Dec 2019 16:36
Juice WRLD,Death Race For Love,Maze,08 Dec 2019 16:32
Juice WRLD,Death Race For Love,Empty,08 Dec 2019 16:26
Migos,Culture,Slippery (feat. Gucci Mane),08 Dec 2019 05:43
Migos,Culture,Slippery (feat. Gucci Mane),08 Dec 2019 05:21
Gunna,Drip or Drown 2,3 Headed Snake (feat. Young Thug),08 Dec 2019 05:17
Young Thug,On The Rvn,High (feat. Elton John),08 Dec 2019 05:11
Playboi Carti,Die Lit,Shoota (feat. Lil Uzi Vert),08 Dec 2019 00:11
SKI MASK THE SLUMP GOD,Stokeley,Foot Fungus,07 Dec 2019 23:57
The Weeknd,Trilogy,Wicked Games,07 Dec 2019 23:52
A BOOGIE WIT DA HOODIE,Hoodie SZN,Just Like Me (feat. Young Thug),07 Dec 2019 23:48
Travis Scott,Rodeo (Expanded Edition),Apple Pie,07 Dec 2019 23:45
Travis Scott,Rodeo (Expanded Edition),pornography,07 Dec 2019 23:41
Gucci Mane,Evil Genius,BiPolar (feat. Quavo),07 Dec 2019 23:37
Kids See Ghosts,Kids See Ghosts,Cudi Montage,07 Dec 2019 23:34
Young Thug,So Much Fun,Bad Bad Bad (feat. Lil Baby),07 Dec 2019 23:31
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),No Complaints (feat. Offset & Drake) (Bonus),07 Dec 2019 23:27
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Don't Come Out The House (with 21 Savage),07 Dec 2019 23:24
Lil Uzi Vert,Lil Uzi Vert vs. The World,Scott And Ramona,07 Dec 2019 23:20
Gunna,Drip Season 3 (Deluxe),Oh Okay (feat. Young Thug & Lil Baby),07 Dec 2019 23:17
Offset,Without Warning,Nightmare,07 Dec 2019 23:15
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Space Cadet (feat. Gunna),07 Dec 2019 23:11
Young Thug,So Much Fun,Just How It Is,07 Dec 2019 23:08
Future,Future & Juice WRLD Present... WRLD ON DRUGS,WRLD On Drugs,07 Dec 2019 23:04
Young Thug,Slime Season 3,Digits,06 Dec 2019 03:11
Kanye West,Mercy,Mercy,
Young Thug,Barter 6,Check,06 Dec 2019 02:56
Travis Scott,ASTROWORLD,COFFEE BEAN,05 Dec 2019 20:29
Travis Scott,ASTROWORLD,HOUSTONFORNICATION,05 Dec 2019 20:25
Travis Scott,ASTROWORLD,BUTTERFLY EFFECT,05 Dec 2019 20:22
Travis Scott,ASTROWORLD,WHO? WHAT!,05 Dec 2019 20:19
Travis Scott,ASTROWORLD,CAN'T SAY,05 Dec 2019 20:16
Travis Scott,ASTROWORLD,YOSEMITE,05 Dec 2019 20:13
Travis Scott,ASTROWORLD,ASTROTHUNDER,05 Dec 2019 20:11
Travis Scott,ASTROWORLD,NC-17,05 Dec 2019 20:08
Travis Scott,ASTROWORLD,5% TINT,05 Dec 2019 20:05
Travis Scott,ASTROWORLD,WAKE UP,05 Dec 2019 20:01
Travis Scott,ASTROWORLD,SKELETONS,05 Dec 2019 19:59
Travis Scott,ASTROWORLD,NO BYSTANDERS,05 Dec 2019 19:55
Travis Scott,ASTROWORLD,STOP TRYING TO BE GOD,05 Dec 2019 19:49
Travis Scott,ASTROWORLD,R.I.P SCREW,05 Dec 2019 19:46
Travis Scott,ASTROWORLD,SICKO MODE,05 Dec 2019 19:41
Travis Scott,ASTROWORLD,CAROUSEL,05 Dec 2019 19:38
Travis Scott,ASTROWORLD,Stargazing,05 Dec 2019 19:34
French Montana,Writing on the Wall (feat. Post Malone & Cardi B),Writing on the Wall (feat. Post Malone & Cardi B),04 Dec 2019 21:55
Tory Lanez,Chixtape 5,Yessirr,04 Dec 2019 21:51
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Hard Work Pays Off,04 Dec 2019 21:47
2 Chainz,Pretty Girls Like Trap Music,It's A Vibe,04 Dec 2019 21:44
Kendrick Lamar,Black Panther the Album Music From and Inspired By,Big Shot (with Travis Scott),04 Dec 2019 21:40
The Weeknd,Beauty Behind the Madness,The Hills,04 Dec 2019 21:36
Future,100 Shooters (feat. Meek Mill),100 Shooters (feat. Meek Mill),04 Dec 2019 21:33
Frank Ocean,Chanel,Chanel,04 Dec 2019 21:29
Travis Scott,ASTROWORLD,WHO? WHAT!,04 Dec 2019 21:26
The Weeknd,Blinding Lights,Blinding Lights,04 Dec 2019 21:23
Wiz Khalifa,Rolling Papers 2,Hopeless Romantic (feat. Swae Lee),04 Dec 2019 21:19
Meek Mill,Championships,Going Bad (feat. Drake),04 Dec 2019 21:16
Frank Ocean,In My Room,In My Room,04 Dec 2019 21:14
The Weeknd,Heartless,Heartless,04 Dec 2019 21:10
Travis Scott,ASTROWORLD,CAN'T SAY,04 Dec 2019 21:06
The Weeknd,Heartless,Heartless,04 Dec 2019 21:03
The Weeknd,Heartless,Heartless,04 Dec 2019 20:58
PINK GUY,Pink Season,STFU,04 Dec 2019 20:37
Lane 8,Feld / Anthracite,Anthracite,04 Dec 2019 04:36
Estiva,Icarus / Carousel,Carousel,04 Dec 2019 04:32
Sonny Fodera,Hurt Me,Hurt Me,04 Dec 2019 04:29
Alex Metric,Saudade EP,What U Need,04 Dec 2019 04:24
Cassian,Lafayette,Lafayette,04 Dec 2019 04:21
Will Easton,Bound / Origin,Bound,04 Dec 2019 04:18
Arno Cost,Magenta,Magenta,04 Dec 2019 04:13
Max Freegrant,L'amour [The Remixes],L'amour - Paul Thomas & White-Akre Remix,04 Dec 2019 04:09
Joris Voorn,Antigone,Antigone - Edit,04 Dec 2019 04:06
Gokosoul,Side Effects,Karma,04 Dec 2019 04:00
deadmau5,Random Album Title,Arguru,04 Dec 2019 03:47
Meduza,Piece Of Your Heart (The Remixes),Piece Of Your Heart - CYA Remix,04 Dec 2019 03:44
Estiva,Icarus / Carousel,Carousel,04 Dec 2019 03:41
Matan Caspi,Eunoia,Eunoia - Original Mix,04 Dec 2019 03:35
Lokovski,No Pressure,No Pressure - Lensa Remix,04 Dec 2019 03:31
Clawz SG,Domuyo,Domuyo,04 Dec 2019 03:26
CYA,Mistakes,Mistakes,04 Dec 2019 03:20
Mahalo,Current Mood,Current Mood,04 Dec 2019 03:16
Krystal Klear,Euphoric Dreams / Miyoki,Euphoric Dreams,04 Dec 2019 03:13
Boxer,Colorscapes Volume One,Jandri - Mixed,04 Dec 2019 03:08
Mat Zo,No Words EP,Meaning Lost All Words,04 Dec 2019 03:02
Young Thug,Slime Language,Gain Clout,04 Dec 2019 02:16
Young Thug,Jeffery,Harambe,04 Dec 2019 02:13
Lil Uzi Vert,Luv Is Rage 2,444+222,03 Dec 2019 21:23
Travis Scott,Birds In The Trap Sing McKnight,Coordinate,03 Dec 2019 21:09
Future,DS2 (Deluxe),Thought It Was A Drought,03 Dec 2019 21:04
Lil Uzi Vert,Luv Is Rage 2,For Real,03 Dec 2019 20:58
Lil Uzi Vert,Luv Is Rage 2,The Way Life Goes (Feat. Oh Wonder),03 Dec 2019 20:54
Lil Uzi Vert,Luv Is Rage,Yamborghini Dream (Feat. Young Thug),03 Dec 2019 20:52
Young Thug,Jeffery,Harambe,03 Dec 2019 19:20
Lil Uzi Vert,Luv Is Rage,Yamborghini Dream (Feat. Young Thug),03 Dec 2019 19:18
Lil Uzi Vert,Luv Is Rage 2,XO TOUR Llif3,03 Dec 2019 19:18
Lil Uzi Vert,Luv Is Rage,Top,03 Dec 2019 19:11
Lil Uzi Vert,Lil Uzi Vert vs. The World,Ps & Qs,03 Dec 2019 19:08
Lil Uzi Vert,Sanguine Paradise,Sanguine Paradise,03 Dec 2019 19:03
Young Thug,Jeffery,Swizz Beatz,03 Dec 2019 14:15
Travis Scott,ASTROWORLD,R.I.P. SCREW,03 Dec 2019 02:02
Travis Scott,ASTROWORLD,SICKO MODE,03 Dec 2019 01:57
Travis Scott,ASTROWORLD,CAROUSEL,03 Dec 2019 01:57
Travis Scott,ASTROWORLD,Stargazing,03 Dec 2019 01:54
Travis Scott,ASTROWORLD,CAROUSEL,03 Dec 2019 01:54
Travis Scott,ASTROWORLD,Stargazing,03 Dec 2019 01:49
Rae Sremmurd,SR3MM,Powerglide (feat. Juicy J) - From SR3MM,02 Dec 2019 21:50
Quavo,Quavo Huncho,PASS OUT (feat. 21 Savage),02 Dec 2019 21:47
The Weeknd,Heartless,Heartless,02 Dec 2019 21:43
The Weeknd,Heartless,Heartless,02 Dec 2019 21:40
Young Thug,Slime Season 3,Digits,02 Dec 2019 18:53
Young Thug,Slime Language,Chanel (Go Get It) [feat. Gunna & Lil Baby],02 Dec 2019 18:53
Young Thug,Slime Season 3,Digits,02 Dec 2019 18:50
Young Thug,On The Rvn,Sin (feat. Jaden Smith),02 Dec 2019 18:50
Young Thug,On The Rvn,Sin (feat. Jaden Smith),02 Dec 2019 18:47
Young Thug,Barter 6,Check,02 Dec 2019 18:43
Young Thug,Barter 6,Check,02 Dec 2019 18:39
Young Thug,Hear No Evil,Amazing,02 Dec 2019 18:39
Young Thug,Hear No Evil,Amazing,02 Dec 2019 18:35
88GLAM,88GLAM2,Lil Boat,01 Dec 2019 16:35
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Up to Something (feat. Travis Scott & Young Thug),01 Dec 2019 01:29
Young Thug,Slime Season 3,Slime Shit (feat. Yak Gotti Duke & Peewee Roscoe),01 Dec 2019 01:24
Young Thug,I'm Up,Hercules,01 Dec 2019 01:19
Young Thug,Jeffery,Guwop,01 Dec 2019 01:14
Young Thug,Jeffery,Webbie (feat. Duke),01 Dec 2019 01:10
Young Thug,Slime Season 3,Drippin',01 Dec 2019 01:07
Young Thug,Beautiful Thugger Girls,Relationship (feat. Future),01 Dec 2019 00:46
Rich Gang,Rich Gang: Tha Tour Pt 1,Givenchy,01 Dec 2019 00:41
Rich Gang,Lifestyle,Lifestyle,01 Dec 2019 00:36
Young Thug,Jeffery,Pick Up The Phone,01 Dec 2019 00:36
Rich Gang,Lifestyle,Lifestyle,01 Dec 2019 00:32
Jamie xx,In Colour,I Know There's Gonna Be (Good Times) [feat. Young Thug and Popcaan],01 Dec 2019 00:28
Young Thug,Hear No Evil,Amazing,01 Dec 2019 00:24
Young Thug,Safe,Safe,01 Dec 2019 00:20
Young Thug,Slime Language,Gain Clout,30 Nov 2019 19:26
Young Thug,Beautiful Thugger Girls,Family Don't Matter (feat. Millie Go Lightly),30 Nov 2019 19:17
Kendrick Lamar,Section.80,A.D.H.D,30 Nov 2019 03:33
Young Thug,Jeffery,Harambe,30 Nov 2019 03:33
Young Thug,Barter 6,Halftime,30 Nov 2019 03:29
Young Thug,Barter 6,With That (feat. Duke),30 Nov 2019 03:26
Young Thug,Best Friend,Best Friend,30 Nov 2019 03:26
The Weeknd,Heartless,Heartless,29 Nov 2019 21:07
The Weeknd,Blinding Lights,Blinding Lights,29 Nov 2019 21:03
Young Thug,Slime Season 3,Slime Shit (feat. Yak Gotti Duke & Peewee Roscoe),27 Nov 2019 20:31
Gunna,Drip or Drown 2,3 Headed Snake (feat. Young Thug),27 Nov 2019 20:15
Young Thug,So Much Fun,What's The Move (feat. Lil Uzi Vert),27 Nov 2019 20:15
Rae Sremmurd,SR3MM,CLOSE (feat. Travis Scott) - From SR3MM,27 Nov 2019 20:12
Gunna,Drip or Drown 2,3 Headed Snake (feat. Young Thug),27 Nov 2019 20:11
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Up to Something (feat. Travis Scott & Young Thug),27 Nov 2019 20:08
Young Thug,On The Rvn,Sin (feat. Jaden Smith),27 Nov 2019 20:04
Young Thug,Barter 6,Check,27 Nov 2019 20:04
Young Thug,Jeffery,Guwop,27 Nov 2019 20:00
Young Thug,I'm Up,Hercules,27 Nov 2019 19:51
Young Thug,Slime Season 3,Drippin',27 Nov 2019 19:48
The Weeknd,Heartless,Heartless,27 Nov 2019 19:45
Travis Scott,ASTROWORLD,Stargazing,27 Nov 2019 19:40
Kids See Ghosts,Kids See Ghosts,Feel the Love,27 Nov 2019 19:37
The Weeknd,Heartless,Heartless,27 Nov 2019 19:34
The Weeknd,Heartless,Heartless,27 Nov 2019 19:10
The Weeknd,Heartless,Heartless,27 Nov 2019 17:52
The Weeknd,Heartless,Heartless,27 Nov 2019 17:49
The Weeknd,Heartless,Heartless,27 Nov 2019 17:47
The Weeknd,Heartless,Heartless,27 Nov 2019 17:42
Drake,The Best In The World Pack,Money In The Grave (Drake ft. Rick Ross),27 Nov 2019 17:36
